alpha_prime,R_vac,V_at_min,Vpp_at_min
0.18,0.424263449,37075.7979,5149435.31
0.19,0.435891175,42441.7464,5584384.78
0.2,0.4472137,48248.5463,6031055.82
0.21,0.458257719,54507.6527,6489004.59
0.22,0.469041792,61230.2377,6957954.61
0.23,0.47958348,68427.2101,7437702.15
0.24,0.489898466,76109.2334,7928014.38
0.25,0.50000832,84286.7416,8428629.37
0.26,0.509903272,92969.9534,8939328.84
0.27,0.519614969,102168.885,9460083.67
0.28,0.529149904,111893.362,9990471.88
0.29,0.538516033,122153.028,10530449.8
0.3,0.547721041,132957.359,11079886.5
0.31,0.556777469,144315.666,11638272.6
0.32,0.56568465,156237.107,12206030.1
